Date,Hour,Load
1/1/2005,1,156.545
1/1/2005,2,147.924
1/1/2005,3,141.037
1/1/2005,4,139.125
1/1/2005,5,140.482
1/1/2005,6,144.726
1/1/2005,7,151.682
1/1/2005,8,160.795
1/1/2005,9,176.263
1/1/2005,10,179.873
1/1/2005,11,177.61
1/1/2005,12,173.02
1/1/2005,13,163.495
1/1/2005,14,154.555
1/1/2005,15,148.92
1/1/2005,16,147.001
1/1/2005,17,151.095
1/1/2005,18,173.793
1/1/2005,19,190.031
1/1/2005,20,185.218
1/1/2005,21,177.967
1/1/2005,22,169.502
1/1/2005,23,155.938
1/1/2005,24,139.258
1/2/2005,1,125.346
1/2/2005,2,118.416
1/2/2005,3,116.78
1/2/2005,4,118.143
1/2/2005,5,122.795
1/2/2005,6,129.928
1/2/2005,7,143.2
1/2/2005,8,163.824
1/2/2005,9,189.415
1/2/2005,10,188.124
1/2/2005,11,169.805
1/2/2005,12,155.386
1/2/2005,13,152.769
1/2/2005,14,148.993
1/2/2005,15,143.25
1/2/2005,16,140.381
1/2/2005,17,144.44
1/2/2005,18,172
1/2/2005,19,193.696
1/2/2005,20,193.642
1/2/2005,21,187.023
1/2/2005,22,175.177
1/2/2005,23,155.832
1/2/2005,24,135.549
1/3/2005,1,122.339
1/3/2005,2,118.007
1/3/2005,3,118.395
1/3/2005,4,121.96
1/3/2005,5,130.08
1/3/2005,6,149.409
1/3/2005,7,175.835
1/3/2005,8,182.662
1/3/2005,9,178.082
1/3/2005,10,173.236
1/3/2005,11,163.255
1/3/2005,12,155.088
1/3/2005,13,149.04
1/3/2005,14,142.998
1/3/2005,15,139.973
1/3/2005,16,139.375
1/3/2005,17,147.925
1/3/2005,18,176.941
1/3/2005,19,206.153
1/3/2005,20,207.321
1/3/2005,21,198.564
1/3/2005,22,181.833
1/3/2005,23,156.097
1/3/2005,24,130.021
1/4/2005,1,112.989
1/4/2005,2,106.235
1/4/2005,3,104.199
1/4/2005,4,104.42
1/4/2005,5,110.352
1/4/2005,6,130.518
1/4/2005,7,165.65
1/4/2005,8,170.033
1/4/2005,9,153.113
1/4/2005,10,144.468
1/4/2005,11,138.553
1/4/2005,12,135.031
1/4/2005,13,133.268
1/4/2005,14,131.919
1/4/2005,15,131.724
1/4/2005,16,134.757
1/4/2005,17,141.92
1/4/2005,18,169.484
1/4/2005,19,198.253
1/4/2005,20,199.114
1/4/2005,21,192.287
1/4/2005,22,174.515
1/4/2005,23,149.467
1/4/2005,24,121.726
1/5/2005,1,104.565
1/5/2005,2,96.84
1/5/2005,3,94.634
1/5/2005,4,95.623
1/5/2005,5,102.136
1/5/2005,6,124.298
1/5/2005,7,163.341
1/5/2005,8,166.844
1/5/2005,9,149.561
1/5/2005,10,140.662
1/5/2005,11,135.669
1/5/2005,12,132.079
1/5/2005,13,130.654
1/5/2005,14,127.779
1/5/2005,15,126.039
1/5/2005,16,129.564
1/5/2005,17,139.329
1/5/2005,18,169.886
1/5/2005,19,197.035
1/5/2005,20,195.727
1/5/2005,21,189.599
1/5/2005,22,176.341
1/5/2005,23,150.423
1/5/2005,24,123.757
1/6/2005,1,107.946
1/6/2005,2,102.144
1/6/2005,3,99.825
1/6/2005,4,100.859
1/6/2005,5,107.084
1/6/2005,6,127.78
